movie_id,title,status,year,revenue,budget,budget to rev,popularity,genre,production_countries
4538256.0,She Done Him Wrong,Released,1933.0,2200000.0,200000,11.0,5.546,Comedy,United States of America
4603659.0,Damaged Lives,Released,1933.0,1800000.0,10000,180.0,3.363,Drama,"United States of America, Canada"
4609950.0,Central Airport,Released,1933.0,747000.0,421000,1.774346793,2.168,Drama,United States of America
4845420.0,Convention City,Released,1933.0,522000.0,239000,2.184100418,1.308,Comedy,United States of America
4523704.0,It Happened One Night,Released,1934.0,4500000.0,325000,13.84615385,15.647,Comedy,United States of America
4527440.0,The Thin Man,Released,1934.0,1423000.0,226408,6.2851136,12.029,Comedy,United States of America
4530638.0,The Black Cat,Released,1934.0,236000.0,95745,2.464880673,10.33,Horror,United States of America
4537181.0,The Gay Divorcee,Released,1934.0,1800000.0,520000,3.461538462,8.088,Comedy,United States of America
4577877.0,Broadway Bill,Released,1934.0,1400000.0,668900,2.092988489,4.39,Comedy,United States of America
4579976.0,The Barretts of Wimpole Street,Released,1934.0,1258000.0,820000,1.534146341,4.224,Drama,United States of America
4575767.0,Fashions of 1934,Released,1934.0,965000.0,317000,3.044164038,4.094,Comedy,United States of America
4571612.0,The Painted Veil,Released,1934.0,1120000.0,947000,1.182682154,3.808,Drama,United States of America
4590510.0,One Night of Love,Released,1934.0,2500000.0,733150,3.409943395,2.477,Documentary,United States of America
4585842.0,Forsaking All Others,Released,1934.0,2199000.0,420069,5.234854274,2.167,Comedy,United States of America
4605317.0,Belle of the Nineties,Released,1934.0,1300000.0,800000,1.625,1.641,Drama,United States of America
4524479.0,The Bride of Frankenstein,Released,1935.0,2000000.0,393750,5.079365079,14.234,Drama,United States of America
4529676.0,Top Hat,Released,1935.0,3202000.0,609000,5.257799672,12.266,Comedy,United States of America
4529010.0,Mutiny on the Bounty,Released,1935.0,4460000.0,1950000,2.287179487,12.133,Action,United States of America
4539554.0,The Informer,Released,1935.0,950000.0,243000,3.909465021,8.714,Horror,United States of America
4545692.0,David Copperfield,Released,1935.0,3064000.0,1073000,2.8555452,7.995,Action,United States of America
4541564.0,Sylvia Scarlett,Released,1935.0,497000.0,641000,0.775351014,6.629,Comedy,United States of America
4541685.0,Anna Karenina,Released,1935.0,1439000.0,1152000,1.249131944,5.71,Drama,United States of America
4551199.0,Alice Adams,Released,1935.0,770000.0,342000,2.251461988,4.992,Comedy,United States of America
4561208.0,Annie Oakley,Released,1935.0,620000.0,354000,1.751412429,4.689,Drama,United States of America
4585278.0,Naughty Marietta,Released,1935.0,2057000.0,782000,2.630434783,4.125,Documentary,United States of America
4575770.0,Star of Midnight,Released,1935.0,831000.0,280000,2.967857143,2.625,Comedy,United States of America
4566646.0,Bordertown,Released,1935.0,1237000.0,369000,3.352303523,2.547,Horror,United States of America
4592297.0,After Office Hours,Released,1935.0,1281000.0,366000,3.5,1.411,Horror,United States of America
4521320.0,Modern Times,Released,1936.0,1800000.0,1500000,1.2,19.539,Comedy,United States of America
4528867.0,My Man Godfrey,Released,1936.0,684200.0,575375,1.189137519,11.174,Comedy,United States of America
4531847.0,Swing Time,Released,1936.0,2600000.0,886000,2.934537246,11.128,Comedy,United States of America
4544687.0,San Francisco,Released,1936.0,5273000.0,1300000,4.056153846,10.867,Drama,United States of America
4534686.0,After the Thin Man,Released,1936.0,3165000.0,673000,4.70282318,10.81,Comedy,United States of America
4544420.0,The Charge of the Light Brigade,Released,1936.0,2736000.0,1200000,2.28,10.1,Drama,United States of America
4532223.0,Fury,Released,1936.0,1300000.0,604000,2.152317881,8.407,Horror,United States of America
4588545.0,A Woman Rebels,Released,1936.0,583000.0,574000,1.015679443,5.158,Drama,United States of America
4544741.0,Follow the Fleet,Released,1936.0,2727000.0,747000,3.65060241,5.117,Comedy,United States of America
4594207.0,The Gorgeous Hussy,Released,1936.0,2019000.0,1119000,1.804289544,4.478,Drama,United States of America
4559318.0,Mary of Scotland,Released,1936.0,1276000.0,864000,1.476851852,4.079,Drama,United States of America
